kudzu_coverage,diversity
64.7,1439.7366883873942
39.4,1388.3761790257695
61.9,709.1083888125422
47.7,1047.9496588647366
13.6,2646.3565441292526
6.7,2233.088615462184
12.9,2784.996570919156
39.3,297.4924118727449
0.3,3860.8342725455764
62,805.7526172852517
76.4,2192.0973013859993
74.4,942.2414621871715
82.6,2552.6063121807574
42.3,276.4750732719899
40.9,1276.8466975224019
54,693.9164727038146
96.1,2901.9602571648356
65.4,1424.8186037880187
54.7,619.0913047760728
26.6,1597.666466487646
19.7,1670.9369699627164
7.8,1804.4633896768096
81.8,1742.4171358555554
94.2,2643.2152555882935
88.4,2332.7989912760263
16.6,1413.2818373870848
35.5,1182.2417706406118
74.8,1728.6647246718408
45.1,694.2256438684462
55.6,424.6762472403052
96.4,2589.2255270105607
7.1,2581.255286772251
95.6,2646.5148637753723
94.8,2770.9039196014405
0.1,2581.5677273076776
36.7,115.79028923809528
1.1,2793.653674132824
93.4,3330.758902741671
52.3,1026.4056795924903
22.2,1189.075370115042
98.5,3145.856854156256
22.5,1397.8592532879115
86.4,1724.8018643331534
88.5,2887.6355381166936
62.5,684.5298080897333
57.2,20.332386043668066
47.1,1182.849272955656
70.1,578.4005267870425
79.8,2011.112273582816
16.6,1535.254582298994
57.9,801.4951482009888
28.8,1262.6031474202873
90.3,1570.7639538317917
52.1,761.0608411622047
82.6,1843.0329993319508
0.2,3613.822207146883
44.1,1252.3260478061438
22.4,1999.6910663050417
54.4,1462.4873783749345
48.6,1141.5512490046026
20.8,1358.8253650218248
55.6,446.9149789971116
22.9,1911.036920253635
42.4,929.989820043445
86.3,1736.0672730833292
61.4,438.13684784591214
99.3,2456.5623731672763
57.7,979.3871960282327
65.1,169.89072450518597
16.7,2103.6741535514593
61.4,1588.6423868757488
88.4,2191.258058620692
38.8,863.4752228140833
47,390.26423128008855
53,183.66197826027883
29.5,1374.7426419115068
28.8,898.5993147820236
5.7,2790.6790112167596
67.3,701.0865953058005
71.7,1394.042190372944
81.8,1069.5144895672797
9.8,2527.728578054905
30.7,644.6867536216978
39.4,656.4291883867982
38.2,291.51876335442057
17.2,1695.3221692264083
23.4,1486.1545161437991
36.2,1599.177894818783
11.9,2587.006715552211
22.4,1315.2603180807832
60,225.86083218514932
77.1,1281.9920443785188
35.5,1064.4514691239597
79.7,2172.482997786999
50.9,611.6570301336051
18.3,951.1967229098082
74.5,1402.363722190857
15.7,1866.6099291652442
68.8,679.5183135151865
42.8,630.0913960456851
42.5,273.2800058281423
26.6,1770.7005503308771
72.6,1123.901179755926
93.1,2848.4552659106253
25,1679.0418627864124
16.3,2622.747584822774
68.3,779.4243575632572
78.6,1207.7050569278
54.7,535.5115592598918
84.2,1595.3812678754332
54.8,665.2124970644713
2.9,2459.6054607075453
42.6,364.25643619418133
92.7,3266.33570548296
9.2,1608.3997445404532
40.3,188.60134942531613
28.5,1894.4376860415937
46.6,109.69169904112823
71.9,802.8350238960986
51.8,1331.2553560644387
97.2,3524.0280984908345
24.8,1483.914790892601
59.9,17.581429789662252
83.7,1448.520230147243
5.5,2066.8417536622287
89.7,2286.7875558406117
99.9,3123.588784317375
68.4,1832.5535165649658
83,2202.95504057467
60.8,481.7363987416029
64.4,873.8634654742482
51.7,1353.2528901398182
82.2,2540.520949956775
36.9,1055.841392965317
41.9,682.9956607830527
22.4,1356.271285722852
53.7,1036.0654554247858
50.1,1009.6140449297432
56.7,0
2.9,3377.612787951231
78.7,2083.3497454702856
58.7,284.5042137235405
95,2482.4728268390895
93.6,2995.9256180298325
4.3,2921.608795529604
63,155.26901909768594
37.5,1106.286542416215
68.2,1032.8258008718494
18.3,1698.2011089473963
6.5,3396.227005482316
24.1,1670.5238033813237
57.5,1418.3349969989063
3.8,3614.5899231910707
88.3,2370.856592923403
23.5,1029.381669894457
20.5,2379.033603758216
51.8,180.0240008443593
85.8,2380.343477830291
59.6,224.1635527652502
68.1,717.3613925290106
73.5,2017.038740054369
12.6,1464.54921705544
49,627.2490592157842
46.3,1260.3722928941252
99,2731.154383108616
90,2273.7970597302915
57,1357.296370059848
44.1,1133.1102155280114
15.3,1326.776302215457
60.7,577.2269574463371
98.9,3448.577758378983
60.2,1413.4035282671452
2.9,2218.650417123437
20.5,1415.9392016535999
86.3,1403.0502162754535
7.4,1870.7788139981033
96.8,3512.8031795084476
9.9,1732.8797816586496
69.9,734.5064398300651
72.1,735.3691523712873
6.3,3000.7162077307703
87.9,2285.0433712196354
2.6,3232.891336093545
83.6,1790.2562416565415
68.7,1072.4016598939897
51.7,1238.7433124631643
89.3,2101.4661327660083
21.6,951.819464085698
41.4,623.3060009998085
64.1,1524.2284103763104
21.8,2036.0882260262965
94.4,1900.465146527887
63.6,1635.8559337329866
37.5,586.3907314097883
75.2,920.0000079661611
17.4,1753.9182227057222
29.8,984.1844657301904
1.6,3063.232627092004
24.9,754.66918242991
16.1,1206.9544921439885
