selections,outcome
paper,T
paper,T
scissors,W
scissors,W
rock,T
scissors,T
scissors,T
paper,T
paper,L
scissors,W
rock,W
rock,T
rock,W
paper,W
paper,W
rock,T
scissors,T
paper,T
paper,W
rock,L
rock,W
paper,W
rock,T
rock,L
paper,L
paper,W
paper,T
rock,L
scissors,L
scissors,T
rock,L
rock,L
paper,T
scissors,L
paper,T
rock,L
scissors,W
rock,L
rock,W
paper,W
paper,L
scissors,W
paper,L
scissors,W
scissors,W
rock,W
scissors,T
rock,W
rock,W
paper,L
paper,T
rock,L
rock,L
scissors,T
rock,W
rock,L
rock,L
rock,T
rock,L
paper,L
paper,T
paper,T
scissors,T
paper,T
rock,L
paper,W
scissors,L
paper,T
paper,T
scissors,W
paper,L
scissors,W
paper,T
rock,L
scissors,W
rock,L
paper,L
paper,L
rock,T
rock,L
paper,L
paper,T
scissors,W
paper,L
paper,L
paper,W
rock,T
rock,L
rock,T
rock,L
rock,L
rock,W
scissors,W
scissors,L
rock,W
scissors,T
scissors,L
scissors,T
rock,W
rock,L
rock,L
scissors,T
paper,L
scissors,L
paper,L
rock,W
rock,L
scissors,T
scissors,W
scissors,W
rock,L
paper,W
paper,W
scissors,T
scissors,T
paper,L
scissors,T
paper,T
rock,W
rock,L
paper,T
scissors,T
paper,W
paper,L
scissors,W
scissors,T
paper,T
paper,T
scissors,T
rock,W
paper,L
paper,T
rock,L
scissors,L
scissors,W
rock,L
paper,W
rock,L
scissors,T
scissors,L
rock,W
rock,T
rock,W
paper,L
scissors,W
rock,L
paper,T
paper,T
scissors,W
rock,T
rock,T
rock,L
scissors,W
paper,L
scissors,W
paper,W
scissors,T
scissors,T
rock,T
rock,L
rock,T
scissors,L
scissors,T
scissors,L
paper,T
rock,L
rock,T
paper,W
rock,L
rock,L
scissors,W
paper,T
scissors,W
paper,W
scissors,W
scissors,T
scissors,L
rock,T
rock,W
paper,W
paper,T
paper,W
scissors,T
paper,L
scissors,L
rock,T
rock,T
rock,T
paper,W
scissors,W
rock,W
scissors,L
paper,L
paper,W
paper,T
paper,T
paper,L
paper,T
scissors,W
scissors,W
paper,T
rock,T
scissors,T
rock,T
rock,W
rock,T
paper,T
rock,T
paper,T
scissors,W
rock,T
rock,W
rock,T
rock,L
rock,L
rock,L
scissors,L
scissors,T
paper,T
rock,W
paper,L
scissors,L
scissors,L
rock,W
paper,T
paper,L
rock,L
paper,L
rock,L
paper,T
paper,W
rock,L
paper,L
paper,L
rock,W
scissors,T
rock,T
scissors,L
scissors,L
scissors,T
scissors,T
rock,L
paper,W
rock,T
paper,T
rock,T
rock,W
scissors,L
rock,L
paper,L
rock,W
rock,W
rock,L
paper,L
paper,T
paper,W
scissors,W
paper,L
paper,W
scissors,W
scissors,W
scissors,T
scissors,L
scissors,W
rock,L
rock,L
scissors,T
scissors,T
paper,T
rock,L
paper,W
paper,W
rock,L
paper,T
paper,W
paper,T
paper,W
scissors,W
rock,L
rock,L
paper,W
paper,T
rock,T
rock,L
scissors,L
paper,T
paper,W
scissors,W
paper,T
rock,W
rock,L
scissors,W
scissors,T
rock,W
scissors,W
rock,L
rock,W
paper,L
rock,L
paper,L
